hero1,hero2
NOVA,HULK
NOVA,SPIDER-MAN
SPIDER-MAN,HULK
QUICKSILVER,WASP
QUICKSILVER,SILVER SURFER
QUICKSILVER,HAWK
QUICKSILVER,SCARLET WITCH
QUICKSILVER,IRON MAN
IRON MAN,WASP
IRON MAN,SILVER SURFER
IRON MAN,HAWK
IRON MAN,SCARLET WITCH
SCARLET WITCH,WASP
SCARLET WITCH,SILVER SURFER
SCARLET WITCH,HAWK
HAWK,WASP
HAWK,SILVER SURFER
SILVER SURFER,WASP
CYCLOPS,CAPTAIN AMERICA
CYCLOPS,NOVA
CYCLOPS,WONDER MAN
CYCLOPS,WOLVERINE
CYCLOPS,SHE-HULK
CYCLOPS,SILVER SURFER
CYCLOPS,VISION
CYCLOPS,MARVEL GIRL
CYCLOPS,STORM
CYCLOPS,MR. FANTASTIC
CYCLOPS,ANGEL
CYCLOPS,IRON MAN
CYCLOPS,BLACK PANTHER
CYCLOPS,SCARLET WITCH
CYCLOPS,THING
CYCLOPS,INVISIBLE WOMAN
CYCLOPS,PUNISHER II
CYCLOPS,HULK
CYCLOPS,BEAST
BEAST,CAPTAIN AMERICA
BEAST,NOVA
BEAST,WONDER MAN
BEAST,WOLVERINE
BEAST,SHE-HULK
BEAST,SILVER SURFER
BEAST,VISION
BEAST,MARVEL GIRL
BEAST,STORM
BEAST,MR. FANTASTIC
BEAST,ANGEL
BEAST,IRON MAN
BEAST,BLACK PANTHER
BEAST,SCARLET WITCH
BEAST,THING
BEAST,INVISIBLE WOMAN
BEAST,PUNISHER II
BEAST,HULK
HULK,CAPTAIN AMERICA
HULK,NOVA
HULK,WONDER MAN
HULK,WOLVERINE
HULK,SHE-HULK
HULK,SILVER SURFER
HULK,VISION
HULK,MARVEL GIRL
HULK,STORM
HULK,MR. FANTASTIC
HULK,ANGEL
HULK,IRON MAN
HULK,BLACK PANTHER
HULK,SCARLET WITCH
HULK,THING
HULK,INVISIBLE WOMAN
HULK,PUNISHER II
PUNISHER II,CAPTAIN AMERICA
PUNISHER II,NOVA
PUNISHER II,WONDER MAN
PUNISHER II,WOLVERINE
PUNISHER II,SHE-HULK
PUNISHER II,SILVER SURFER
PUNISHER II,VISION
PUNISHER II,MARVEL GIRL
PUNISHER II,STORM
PUNISHER II,MR. FANTASTIC
PUNISHER II,ANGEL
PUNISHER II,IRON MAN
PUNISHER II,BLACK PANTHER
PUNISHER II,SCARLET WITCH
PUNISHER II,THING
PUNISHER II,INVISIBLE WOMAN
INVISIBLE WOMAN,CAPTAIN AMERICA
INVISIBLE WOMAN,NOVA
INVISIBLE WOMAN,WONDER MAN
INVISIBLE WOMAN,WOLVERINE
INVISIBLE WOMAN,SHE-HULK
INVISIBLE WOMAN,SILVER SURFER
INVISIBLE WOMAN,VISION
INVISIBLE WOMAN,MARVEL GIRL
INVISIBLE WOMAN,STORM
INVISIBLE WOMAN,MR. FANTASTIC
INVISIBLE WOMAN,ANGEL
INVISIBLE WOMAN,IRON MAN
INVISIBLE WOMAN,BLACK PANTHER
INVISIBLE WOMAN,SCARLET WITCH
INVISIBLE WOMAN,THING
THING,CAPTAIN AMERICA
THING,NOVA
THING,WONDER MAN
THING,WOLVERINE
THING,SHE-HULK
THING,SILVER SURFER
THING,VISION
THING,MARVEL GIRL
THING,STORM
THING,MR. FANTASTIC
THING,ANGEL
THING,IRON MAN
THING,BLACK PANTHER
THING,SCARLET WITCH
SCARLET WITCH,CAPTAIN AMERICA
SCARLET WITCH,NOVA
SCARLET WITCH,WONDER MAN
SCARLET WITCH,WOLVERINE
SCARLET WITCH,SHE-HULK
SCARLET WITCH,VISION
SCARLET WITCH,MARVEL GIRL
SCARLET WITCH,STORM
SCARLET WITCH,MR. FANTASTIC
SCARLET WITCH,ANGEL
SCARLET WITCH,IRON MAN
SCARLET WITCH,BLACK PANTHER
BLACK PANTHER,CAPTAIN AMERICA
BLACK PANTHER,NOVA
BLACK PANTHER,WONDER MAN
BLACK PANTHER,WOLVERINE
BLACK PANTHER,SHE-HULK
BLACK PANTHER,SILVER SURFER
BLACK PANTHER,VISION
BLACK PANTHER,MARVEL GIRL
BLACK PANTHER,STORM
BLACK PANTHER,MR. FANTASTIC
BLACK PANTHER,ANGEL
BLACK PANTHER,IRON MAN
IRON MAN,CAPTAIN AMERICA
IRON MAN,NOVA
IRON MAN,WONDER MAN
IRON MAN,WOLVERINE
IRON MAN,SHE-HULK
IRON MAN,VISION
IRON MAN,MARVEL GIRL
IRON MAN,STORM
IRON MAN,MR. FANTASTIC
IRON MAN,ANGEL
ANGEL,CAPTAIN AMERICA
ANGEL,NOVA
ANGEL,WONDER MAN
ANGEL,WOLVERINE
ANGEL,SHE-HULK
ANGEL,SILVER SURFER
ANGEL,VISION
ANGEL,MARVEL GIRL
ANGEL,STORM
ANGEL,MR. FANTASTIC
MR. FANTASTIC,CAPTAIN AMERICA
MR. FANTASTIC,NOVA
MR. FANTASTIC,WONDER MAN
MR. FANTASTIC,WOLVERINE
MR. FANTASTIC,SHE-HULK
MR. FANTASTIC,SILVER SURFER
MR. FANTASTIC,VISION
MR. FANTASTIC,MARVEL GIRL
MR. FANTASTIC,STORM
STORM,CAPTAIN AMERICA
STORM,NOVA
STORM,WONDER MAN
STORM,WOLVERINE
STORM,SHE-HULK
STORM,SILVER SURFER
STORM,VISION
STORM,MARVEL GIRL
MARVEL GIRL,CAPTAIN AMERICA
MARVEL GIRL,NOVA
MARVEL GIRL,WONDER MAN
MARVEL GIRL,WOLVERINE
MARVEL GIRL,SHE-HULK
MARVEL GIRL,SILVER SURFER
MARVEL GIRL,VISION
VISION,CAPTAIN AMERICA
VISION,NOVA
VISION,WONDER MAN
VISION,WOLVERINE
VISION,SHE-HULK
VISION,SILVER SURFER
SILVER SURFER,CAPTAIN AMERICA
SILVER SURFER,NOVA
SILVER SURFER,WONDER MAN
SILVER SURFER,WOLVERINE
SILVER SURFER,SHE-HULK
SHE-HULK,CAPTAIN AMERICA
SHE-HULK,NOVA
SHE-HULK,WONDER MAN
SHE-HULK,WOLVERINE
WOLVERINE,CAPTAIN AMERICA
WOLVERINE,NOVA
WOLVERINE,WONDER MAN
WONDER MAN,CAPTAIN AMERICA
WONDER MAN,NOVA
NOVA,CAPTAIN AMERICA
HAWK,IRON MAN
HULK,DR. STRANGE
HULK,QUICKSILVER
CYCLOPS,PROFESSOR X
PROFESSOR X,HULK
PROFESSOR X,MARVEL GIRL
MARVEL GIRL,HULK
SPIDER-MAN,"ROBERTSON, JOE"
SPIDER-MAN,"WATSON-PARKER, MARY"
SPIDER-MAN,"JAMESON, J. JONAH"
SPIDER-MAN,ICEMAN
"WATSON-PARKER, MARY","JAMESON, J. JONAH"
"WATSON-PARKER, MARY",ICEMAN
ICEMAN,"JAMESON, J. JONAH"
THOR,"JAMESON, J. JONAH"
THOR,SPIDER-MAN
ANGEL,ICEMAN
ANGEL,BEAST
BEAST,ICEMAN
ICEMAN,BEAST
ICEMAN,ANGEL
ICEMAN,HUMAN TORCH
ICEMAN,MR. FANTASTIC
MR. FANTASTIC,BEAST
MR. FANTASTIC,ANGEL
MR. FANTASTIC,HUMAN TORCH
HUMAN TORCH,BEAST
HUMAN TORCH,ANGEL
COLOSSUS II,ROGUE 
COLOSSUS II,WOLVERINE
COLOSSUS II,STORM
COLOSSUS II,HAVOK
HAVOK,ROGUE 
HAVOK,WOLVERINE
HAVOK,STORM
STORM,ROGUE 
WOLVERINE,ROGUE 
WOLVERINE,COLOSSUS II
WOLVERINE,HAVOK
WOLVERINE,"SUMMERS, NATHAN CHRI"
WOLVERINE,STORM
ROGUE ,COLOSSUS II
ROGUE ,HAVOK
ROGUE ,"SUMMERS, NATHAN CHRI"
ROGUE ,STORM
STORM,COLOSSUS II
STORM,HAVOK
STORM,"SUMMERS, NATHAN CHRI"
"SUMMERS, NATHAN CHRI",COLOSSUS II
"SUMMERS, NATHAN CHRI",HAVOK
HAVOK,COLOSSUS II
MARVEL GIRL,HAVOK
MARVEL GIRL,STORM
MARVEL GIRL,CYCLOPS
MARVEL GIRL,COLOSSUS II
MARVEL GIRL,ROGUE 
WOLVERINE,CYCLOPS
ROGUE ,CYCLOPS
COLOSSUS II,CYCLOPS
CYCLOPS,HAVOK
STORM,CANNONBALL II
HAVOK,CANNONBALL II
WOLVERINE,CANNONBALL II
CANNONBALL II,ROGUE 
CANNONBALL II,COLOSSUS II
COLOSSUS II,CANNONBALL II
CANNONBALL II,WOLVERINE
CANNONBALL II,STORM
CANNONBALL II,HAVOK
ROGUE ,WOLVERINE
CAPTAIN AMERICA,THOR
CAPTAIN AMERICA,IRON MAN
CAPTAIN AMERICA,SILVER SURFER
SILVER SURFER,THOR
SILVER SURFER,IRON MAN
IRON MAN,THOR
CAPTAIN AMERICA,WASP
CAPTAIN AMERICA,ANGEL
CAPTAIN AMERICA,"JARVIS, EDWIN"
CAPTAIN AMERICA,ANT-MAN
ANT-MAN,WASP
ANT-MAN,ANGEL
ANT-MAN,"JARVIS, EDWIN"
ANT-MAN,IRON MAN
ANT-MAN,THOR
THOR,WASP
THOR,ANGEL
THOR,"JARVIS, EDWIN"
THOR,IRON MAN
IRON MAN,"JARVIS, EDWIN"
"JARVIS, EDWIN",WASP
"JARVIS, EDWIN",ANGEL
ANGEL,WASP
ANT-MAN,CAPTAIN AMERICA
WASP,CAPTAIN AMERICA
WASP,THOR
WASP,"JARVIS, EDWIN"
WASP,IRON MAN
"JARVIS, EDWIN",CAPTAIN AMERICA
"JARVIS, EDWIN",THOR
THOR,CAPTAIN AMERICA
MR. FANTASTIC,THING
MR. FANTASTIC,INVISIBLE WOMAN
MR. FANTASTIC,THOR
MR. FANTASTIC,"JARVIS, EDWIN"
MR. FANTASTIC,IRON MAN
SILVER SURFER,THING
SILVER SURFER,INVISIBLE WOMAN
SILVER SURFER,HUMAN TORCH
SILVER SURFER,"JARVIS, EDWIN"
IRON MAN,THING
IRON MAN,INVISIBLE WOMAN
IRON MAN,HUMAN TORCH
"JARVIS, EDWIN",THING
"JARVIS, EDWIN",INVISIBLE WOMAN
"JARVIS, EDWIN",HUMAN TORCH
THOR,THING
THOR,INVISIBLE WOMAN
THOR,HUMAN TORCH
HUMAN TORCH,THING
HUMAN TORCH,CAPTAIN AMERICA
HUMAN TORCH,INVISIBLE WOMAN
CAPTAIN AMERICA,THING
ICEMAN,HERCULES [GREEK GOD]
ICEMAN,"JARVIS, EDWIN"
ICEMAN,VISION
ICEMAN,BLACK PANTHER
ICEMAN,IRON MAN
ICEMAN,BLACK WIDOW
ICEMAN,ANT-MAN
ICEMAN,CAPTAIN AMERICA
ICEMAN,THOR
ICEMAN,WASP
ICEMAN,WONDER MAN
ICEMAN,SCARLET WITCH
ICEMAN,HAWK
BEAST,HERCULES [GREEK GOD]
BEAST,"JARVIS, EDWIN"
BEAST,BLACK WIDOW
BEAST,ANT-MAN
BEAST,THOR
BEAST,WASP
BEAST,HAWK
HAWK,HERCULES [GREEK GOD]
HAWK,"JARVIS, EDWIN"
HAWK,VISION
HAWK,BLACK PANTHER
HAWK,BLACK WIDOW
HAWK,ANT-MAN
HAWK,CAPTAIN AMERICA
HAWK,ANGEL
HAWK,THOR
HAWK,WONDER MAN
HAWK,SCARLET WITCH
SCARLET WITCH,HERCULES [GREEK GOD]
SCARLET WITCH,"JARVIS, EDWIN"
SCARLET WITCH,BLACK WIDOW
SCARLET WITCH,ANT-MAN
SCARLET WITCH,THOR
WONDER MAN,HERCULES [GREEK GOD]
WONDER MAN,"JARVIS, EDWIN"
WONDER MAN,VISION
WONDER MAN,BLACK PANTHER
WONDER MAN,IRON MAN
WONDER MAN,BLACK WIDOW
WONDER MAN,ANT-MAN
WONDER MAN,ANGEL
WONDER MAN,THOR
WONDER MAN,WASP
WASP,HERCULES [GREEK GOD]
WASP,VISION
WASP,BLACK PANTHER
WASP,BLACK WIDOW
WASP,ANT-MAN
WASP,ANGEL
THOR,HERCULES [GREEK GOD]
THOR,VISION
THOR,BLACK PANTHER
THOR,BLACK WIDOW
THOR,ANT-MAN
ANGEL,HERCULES [GREEK GOD]
ANGEL,"JARVIS, EDWIN"
ANGEL,BLACK PANTHER
ANGEL,IRON MAN
ANGEL,BLACK WIDOW
ANGEL,ANT-MAN
CAPTAIN AMERICA,HERCULES [GREEK GOD]
CAPTAIN AMERICA,VISION
CAPTAIN AMERICA,BLACK PANTHER
CAPTAIN AMERICA,BLACK WIDOW
ANT-MAN,HERCULES [GREEK GOD]
ANT-MAN,VISION
ANT-MAN,BLACK PANTHER
ANT-MAN,BLACK WIDOW
BLACK WIDOW,HERCULES [GREEK GOD]
BLACK WIDOW,"JARVIS, EDWIN"
BLACK WIDOW,VISION
BLACK WIDOW,BLACK PANTHER
BLACK WIDOW,IRON MAN
IRON MAN,HERCULES [GREEK GOD]
IRON MAN,BLACK PANTHER
BLACK PANTHER,HERCULES [GREEK GOD]
BLACK PANTHER,"JARVIS, EDWIN"
VISION,HERCULES [GREEK GOD]
VISION,"JARVIS, EDWIN"
"JARVIS, EDWIN",HERCULES [GREEK GOD]
THOR,BEAST
THOR,WONDER MAN
THOR,SCARLET WITCH
SCARLET WITCH,BEAST
WONDER MAN,BEAST
VISION,BEAST
VISION,IRON MAN
VISION,WASP
WASP,BEAST
IRON MAN,BEAST
CAPTAIN AMERICA,BEAST
IRON MAN,ANT-MAN
"JARVIS, EDWIN",ANT-MAN
"JARVIS, EDWIN",IRON MAN
"WATSON-PARKER, MARY","ROBERTSON, JOE"
"ROBERTSON, JOE","JAMESON, J. JONAH"
"WATSON-PARKER, MARY",SPIDER-MAN
"JAMESON, J. JONAH","ROBERTSON, JOE"
PUNISHER II,SPIDER-MAN
PUNISHER II,"WATSON-PARKER, MARY"
"JAMESON, J. JONAH","WATSON-PARKER, MARY"
"JAMESON, J. JONAH",SPIDER-MAN
SPIDER-MAN,CYCLOPS
THING,INVISIBLE WOMAN
THING,HUMAN TORCH
ANGEL,CYCLOPS
ANGEL,"SUMMERS, NATHAN CHRI"
"SUMMERS, NATHAN CHRI",ICEMAN
"SUMMERS, NATHAN CHRI",BEAST
"SUMMERS, NATHAN CHRI",MARVEL GIRL
"SUMMERS, NATHAN CHRI",CYCLOPS
CYCLOPS,ICEMAN
MARVEL GIRL,ICEMAN
MARVEL GIRL,BEAST
SCARLET WITCH,DR. STRANGE
DR. STRANGE,DR. DOOM
DR. STRANGE,SCARLET WITCH
SCARLET WITCH,DR. DOOM
SCARLET WITCH,HULK
DR. STRANGE,HULK
SILVER SURFER,DR. DOOM
SILVER SURFER,DR. STRANGE
DR. STRANGE,SILVER SURFER
MARVEL GIRL,"SUMMERS, NATHAN CHRI"
ICEMAN,"SUMMERS, NATHAN CHRI"
ICEMAN,CYCLOPS
CYCLOPS,"SUMMERS, NATHAN CHRI"
PROFESSOR X,CYCLOPS
PROFESSOR X,ICEMAN
PROFESSOR X,BEAST
PROFESSOR X,ANGEL
BEAST,CYCLOPS
ICEMAN,MARVEL GIRL
MARVEL GIRL,ANGEL
BEAST,PROFESSOR X
ICEMAN,PROFESSOR X
MARVEL GIRL,PROFESSOR X
BEAST,SPIDER-MAN
BEAST,QUICKSILVER
QUICKSILVER,PROFESSOR X
QUICKSILVER,CYCLOPS
QUICKSILVER,SPIDER-MAN
QUICKSILVER,ICEMAN
QUICKSILVER,MARVEL GIRL
QUICKSILVER,ANGEL
ANGEL,PROFESSOR X
ANGEL,SPIDER-MAN
ANGEL,SCARLET WITCH
MARVEL GIRL,SPIDER-MAN
MARVEL GIRL,SCARLET WITCH
ICEMAN,SPIDER-MAN
SCARLET WITCH,PROFESSOR X
SCARLET WITCH,CYCLOPS
SCARLET WITCH,SPIDER-MAN
SPIDER-MAN,PROFESSOR X
CAPTAIN AMERICA,SUB-MARINER
SUB-MARINER,CAPTAIN AMERICA
CAPTAIN AMERICA,HAWK
CAPTAIN AMERICA,SCARLET WITCH
THOR,HAWK
"FURY, COL. NICHOLAS",IRON MAN
"CAGE, LUKE",IRON MAN
IRON MAN,SPIDER-MAN
THING,SPIDER-MAN
"ROBERTSON, JOE",SPIDER-MAN
IRON MAN,"FURY, COL. NICHOLAS"
THOR,"FURY, COL. NICHOLAS"
"FURY, COL. NICHOLAS",CAPTAIN AMERICA
"FURY, COL. NICHOLAS","JARVIS, EDWIN"
BEAST,ROGUE 
BEAST,GAMBIT
WOLVERINE,GAMBIT
WOLVERINE,PROFESSOR X
PROFESSOR X,ROGUE 
PROFESSOR X,GAMBIT
CYCLOPS,ROGUE 
CYCLOPS,GAMBIT
GAMBIT,ROGUE 
ANGEL,GAMBIT
"JARVIS, EDWIN",GAMBIT
"JARVIS, EDWIN",PROFESSOR X
"JARVIS, EDWIN",BEAST
"JARVIS, EDWIN",STORM
STORM,GAMBIT
STORM,PROFESSOR X
STORM,BEAST
WONDER MAN,NIGHTCRAWLER
MARVEL GIRL,SUB-MARINER
MARVEL GIRL,THOR
MARVEL GIRL,WASP
MARVEL GIRL,DR. STRANGE
MARVEL GIRL,INVISIBLE WOMAN
MARVEL GIRL,IRON MAN
MARVEL GIRL,THING
MARVEL GIRL,MR. FANTASTIC
MARVEL GIRL,HUMAN TORCH
MARVEL GIRL,DAREDEVIL
MARVEL GIRL,"JAMESON, J. JONAH"
MARVEL GIRL,ANT-MAN
ANT-MAN,CYCLOPS
ANT-MAN,SUB-MARINER
ANT-MAN,BEAST
ANT-MAN,ICEMAN
ANT-MAN,SPIDER-MAN
ANT-MAN,DR. STRANGE
ANT-MAN,HULK
ANT-MAN,INVISIBLE WOMAN
ANT-MAN,THING
ANT-MAN,MR. FANTASTIC
ANT-MAN,HUMAN TORCH
ANT-MAN,DAREDEVIL
ANT-MAN,"JAMESON, J. JONAH"
"JAMESON, J. JONAH",CYCLOPS
"JAMESON, J. JONAH",SUB-MARINER
"JAMESON, J. JONAH",THOR
"JAMESON, J. JONAH",BEAST
"JAMESON, J. JONAH",WASP
"JAMESON, J. JONAH",ICEMAN
"JAMESON, J. JONAH",DR. STRANGE
"JAMESON, J. JONAH",HULK
"JAMESON, J. JONAH",INVISIBLE WOMAN
"JAMESON, J. JONAH",IRON MAN
"JAMESON, J. JONAH",THING
"JAMESON, J. JONAH",MR. FANTASTIC
"JAMESON, J. JONAH",ANGEL
"JAMESON, J. JONAH",HUMAN TORCH
"JAMESON, J. JONAH",CAPTAIN AMERICA
"JAMESON, J. JONAH",DAREDEVIL
DAREDEVIL,CYCLOPS
DAREDEVIL,SUB-MARINER
DAREDEVIL,THOR
DAREDEVIL,BEAST
DAREDEVIL,WASP
DAREDEVIL,ICEMAN
DAREDEVIL,SPIDER-MAN
DAREDEVIL,DR. STRANGE
DAREDEVIL,HULK
DAREDEVIL,INVISIBLE WOMAN
DAREDEVIL,IRON MAN
DAREDEVIL,THING
DAREDEVIL,MR. FANTASTIC
DAREDEVIL,ANGEL
DAREDEVIL,HUMAN TORCH
DAREDEVIL,CAPTAIN AMERICA
CAPTAIN AMERICA,CYCLOPS
CAPTAIN AMERICA,ICEMAN
CAPTAIN AMERICA,SPIDER-MAN
CAPTAIN AMERICA,DR. STRANGE
CAPTAIN AMERICA,HULK
CAPTAIN AMERICA,INVISIBLE WOMAN
CAPTAIN AMERICA,MR. FANTASTIC
CAPTAIN AMERICA,HUMAN TORCH
HUMAN TORCH,CYCLOPS
HUMAN TORCH,SUB-MARINER
HUMAN TORCH,THOR
HUMAN TORCH,WASP
HUMAN TORCH,ICEMAN
HUMAN TORCH,SPIDER-MAN
HUMAN TORCH,DR. STRANGE
HUMAN TORCH,HULK
HUMAN TORCH,IRON MAN
HUMAN TORCH,MR. FANTASTIC
ANGEL,SUB-MARINER
ANGEL,THOR
ANGEL,DR. STRANGE
ANGEL,HULK
ANGEL,INVISIBLE WOMAN
ANGEL,THING
MR. FANTASTIC,CYCLOPS
MR. FANTASTIC,SUB-MARINER
MR. FANTASTIC,WASP
MR. FANTASTIC,ICEMAN
MR. FANTASTIC,SPIDER-MAN
MR. FANTASTIC,DR. STRANGE
MR. FANTASTIC,HULK
THING,CYCLOPS
THING,SUB-MARINER
THING,THOR
THING,BEAST
THING,WASP
THING,ICEMAN
THING,DR. STRANGE
THING,HULK
IRON MAN,CYCLOPS
IRON MAN,SUB-MARINER
IRON MAN,ICEMAN
IRON MAN,DR. STRANGE
IRON MAN,HULK
INVISIBLE WOMAN,CYCLOPS
INVISIBLE WOMAN,SUB-MARINER
INVISIBLE WOMAN,THOR
INVISIBLE WOMAN,BEAST
INVISIBLE WOMAN,WASP
INVISIBLE WOMAN,ICEMAN
INVISIBLE WOMAN,SPIDER-MAN
INVISIBLE WOMAN,DR. STRANGE
INVISIBLE WOMAN,HULK
HULK,CYCLOPS
HULK,SUB-MARINER
HULK,THOR
HULK,BEAST
HULK,WASP
HULK,ICEMAN
HULK,SPIDER-MAN
DR. STRANGE,CYCLOPS
DR. STRANGE,SUB-MARINER
DR. STRANGE,THOR
DR. STRANGE,BEAST
DR. STRANGE,WASP
DR. STRANGE,ICEMAN
DR. STRANGE,SPIDER-MAN
SPIDER-MAN,SUB-MARINER
SPIDER-MAN,THOR
SPIDER-MAN,BEAST
SPIDER-MAN,WASP
ICEMAN,SUB-MARINER
WASP,CYCLOPS
WASP,SUB-MARINER
BEAST,SUB-MARINER
THOR,CYCLOPS
THOR,SUB-MARINER
SUB-MARINER,CYCLOPS
THING,"JAMESON, J. JONAH"
MR. FANTASTIC,"JAMESON, J. JONAH"
HUMAN TORCH,"JAMESON, J. JONAH"
SPIDER-MAN,INVISIBLE WOMAN
SUB-MARINER,"JAMESON, J. JONAH"
SUB-MARINER,INVISIBLE WOMAN
INVISIBLE WOMAN,"JAMESON, J. JONAH"
STORM,NIGHTCRAWLER
STORM,CYCLOPS
WOLVERINE,NIGHTCRAWLER
COLOSSUS II,NIGHTCRAWLER
CYCLOPS,NIGHTCRAWLER
WASP,ICEMAN
WOLVERINE,HERCULES [GREEK GOD]
CAPTAIN AMERICA,"FURY, COL. NICHOLAS"
SUB-MARINER,HULK
WASP,HULK
HULK,ANT-MAN
THOR,MR. FANTASTIC
THOR,DAREDEVIL
IRON MAN,"JAMESON, J. JONAH"
IRON MAN,DAREDEVIL
CAPTAIN AMERICA,"JAMESON, J. JONAH"
CAPTAIN AMERICA,DAREDEVIL
WASP,"JAMESON, J. JONAH"
WASP,MR. FANTASTIC
WASP,SPIDER-MAN
WASP,THING
WASP,HUMAN TORCH
WASP,DAREDEVIL
WASP,INVISIBLE WOMAN
INVISIBLE WOMAN,ANT-MAN
INVISIBLE WOMAN,HUMAN TORCH
INVISIBLE WOMAN,DAREDEVIL
DAREDEVIL,"JAMESON, J. JONAH"
DAREDEVIL,ANT-MAN
HUMAN TORCH,ANT-MAN
THING,ANT-MAN
SPIDER-MAN,ANT-MAN
SPIDER-MAN,MR. FANTASTIC
MR. FANTASTIC,ANT-MAN
SPIDER-MAN,CAPTAIN AMERICA
SPIDER-MAN,HUMAN TORCH
SPIDER-MAN,THING
MR. FANTASTIC,SCARLET WITCH
VISION,HUMAN TORCH
VISION,THING
VISION,SCARLET WITCH
SCARLET WITCH,HUMAN TORCH
SCARLET WITCH,THING
VISION,THOR
VISION,INVISIBLE WOMAN
VISION,MR. FANTASTIC
WASP,SHE-HULK
WASP,SCARLET WITCH
CAPTAIN AMERICA,SHE-HULK
HUMAN TORCH,SHE-HULK
HUMAN TORCH,SCARLET WITCH
SHE-HULK,THOR
THING,DAREDEVIL
SHE-HULK,MR. FANTASTIC
SHE-HULK,THING
DR. DOOM,CAPTAIN AMERICA
DR. DOOM,IRON MAN
HULK,"JAMESON, J. JONAH"
BLACK PANTHER,NIGHTCRAWLER
CAPTAIN AMERICA,NIGHTCRAWLER
CAPTAIN AMERICA,WONDER MAN
"JARVIS, EDWIN",WONDER MAN
"JARVIS, EDWIN",VISION
"JARVIS, EDWIN",SCARLET WITCH
"JARVIS, EDWIN",BLACK PANTHER
ANT-MAN,WONDER MAN
ANT-MAN,SCARLET WITCH
BLACK PANTHER,WASP
BLACK PANTHER,SCARLET WITCH
BLACK PANTHER,THOR
ANT-MAN,HAWK
ANT-MAN,QUICKSILVER
SCARLET WITCH,QUICKSILVER
CAPTAIN AMERICA,QUICKSILVER
WASP,HAWK
WASP,WONDER MAN
WASP,QUICKSILVER
IRON MAN,QUICKSILVER
"JARVIS, EDWIN",HAWK
"JARVIS, EDWIN",QUICKSILVER
QUICKSILVER,VISION
QUICKSILVER,BEAST
QUICKSILVER,THOR
QUICKSILVER,WONDER MAN
WONDER MAN,HAWK
VISION,HAWK
WONDER MAN,SCARLET WITCH
VISION,ANT-MAN
HAWK,BEAST
QUICKSILVER,"JARVIS, EDWIN"
QUICKSILVER,CAPTAIN AMERICA
QUICKSILVER,BLACK PANTHER
QUICKSILVER,ANT-MAN
BLACK PANTHER,HAWK
BLACK WIDOW,SCARLET WITCH
BLACK WIDOW,HAWK
BLACK WIDOW,ANT-MAN
BLACK WIDOW,WONDER MAN
BLACK WIDOW,WASP
BLACK WIDOW,"FURY, COL. NICHOLAS"
BLACK WIDOW,THOR
BLACK WIDOW,CAPTAIN AMERICA
"FURY, COL. NICHOLAS",SCARLET WITCH
"FURY, COL. NICHOLAS",HAWK
"FURY, COL. NICHOLAS",BLACK PANTHER
"FURY, COL. NICHOLAS",ANT-MAN
"FURY, COL. NICHOLAS",WONDER MAN
"FURY, COL. NICHOLAS",HERCULES [GREEK GOD]
"FURY, COL. NICHOLAS",WASP
HERCULES [GREEK GOD],SCARLET WITCH
HERCULES [GREEK GOD],HAWK
HERCULES [GREEK GOD],BLACK PANTHER
HERCULES [GREEK GOD],ANT-MAN
HERCULES [GREEK GOD],WONDER MAN
HAWK,QUICKSILVER
BLACK WIDOW,QUICKSILVER
WONDER MAN,QUICKSILVER
QUICKSILVER,HERCULES [GREEK GOD]
VISION,BLACK PANTHER
IRON MAN,BLACK WIDOW
"JARVIS, EDWIN",BLACK WIDOW
VISION,QUICKSILVER
VISION,BLACK WIDOW
HERCULES [GREEK GOD],IRON MAN
BLACK PANTHER,QUICKSILVER
BLACK PANTHER,ANT-MAN
HERCULES [GREEK GOD],QUICKSILVER
HERCULES [GREEK GOD],THOR
HERCULES [GREEK GOD],WASP
HERCULES [GREEK GOD],VISION
THOR,QUICKSILVER
